Time On Sample,Displacement Into Surface,Load On Sample,Harmonic Contact Stiffness,Harmonic Displacement,Harmonic Load
0,0,0,-355.2476324,0.340524611,2.200508242
0.1,-0.075327228,0.000350365,1163.693287,0.272856259,2.233335318
0.2,0.158274576,0.000679577,4891.282008,0.213046166,2.273822053
0.3,0.103764669,0.001028517,8146.579427,0.189471386,2.300083713
0.4,0.351105903,0.001356788,11804.83789,0.168952595,2.331269453
0.5,0.193758434,0.001712769,14719.68031,0.155418925,2.3635494
0.6,0.283720728,0.002051817,16383.26663,0.147124094,2.393093774
0.7,0.562287942,0.002377949,18597.1214,0.136209843,2.467501831
0.8,0.288363482,0.002741914,21263.26618,0.124422453,2.565983037
0.9,0.256752626,0.003089285,23296.37959,0.116564193,2.630542947
1,0.428735162,0.003422716,25695.83523,0.109579073,2.724647243
1.1,0.58989269,0.003756889,27160.53931,0.106086512,2.788112937
1.2,0.478343326,0.004109734,28273.10052,0.105213373,2.881122977
1.29,0.434447105,0.004423427,28988.55433,0.104776803,2.943494415
1.4,0.428445029,0.004800741,29984.46371,0.104340233,3.036504455
1.5,0.601260569,0.005131426,30568.58372,0.104340232,3.097781685
1.6,0.796558815,0.00546057,30814.27366,0.106086512,3.174378215
1.7,0.618810686,0.005815259,31660.49125,0.112198493,3.45450257
1.8,0.657562686,0.006155123,31725.57777,0.117437333,3.62410913
1.9,0.463160701,0.006510952,32827.73602,0.121366463,3.881254533
2,0.834157127,0.006828066,33290.23397,0.124859022,4.050861131
2.1,0.791305232,0.007173518,34315.93128,0.128788152,4.30691232
2.2,0.557766687,0.007532027,34373.87415,0.133590423,4.475424611
2.3,0.832170748,0.007855754,34189.51685,0.141885253,4.726004651
2.4,0.55033602,0.00821757,33451.75859,0.150180084,4.890139991
2.5,0.655703443,0.008552873,32753.59162,0.161094334,5.136343072
2.6,0.854332459,0.00888179,32970.07105,0.169389163,5.44272914
2.7,0.700732423,0.009234825,33359.0693,0.175937714,5.722853499
2.8,0.723663259,0.009575772,33345.45004,0.188598244,6.136474649
2.9,0.963926915,0.009901838,32985.35728,0.199075923,6.407845196
3,0.851128825,0.010252079,32238.91684,0.216538724,6.808335485
3.1,0.877390432,0.010592798,31833.13949,0.227889544,7.073140582
3.2,0.746273101,0.010944294,31596.99429,0.242732925,7.471442389
3.3,0.884948236,0.011277316,31649.54629,0.251027755,7.736247496
3.4,0.628926985,0.011637364,31724.10228,0.263251716,8.133455059
3.5,0.856700249,0.011964285,31914.11766,0.270236835,8.398260179
3.6,0.772213714,0.012312588,31894.04066,0.279841376,8.69151537
3.7,0.989161972,0.01264025,32596.5708,0.292065335,9.2791201
3.8,1.042069749,0.012979145,33199.93579,0.297304175,9.629275583
3.9,0.998384763,0.013328077,33956.16153,0.306035575,10.14903758
4,1.01631984,0.013665943,34575.50075,0.310401275,10.49700463
4.1,0.775286662,0.014028389,35324.73283,0.318259537,11.0156723
4.2,1.013884932,0.014354569,35680.72665,0.324808085,11.37895871
4.3,1.02848884,0.014696086,36154.11158,0.334412625,11.88777838
4.4,0.980641187,0.015038456,36430.34856,0.341834316,12.2455935
4.5,1.014396631,0.015382086,36551.48602,0.350565716,12.5990317
4.6,0.807504256,0.015738771,36673.03166,0.360170257,12.97544875
4.7,0.965331723,0.016067057,36567.4479,0.380689047,13.66153467
4.8,0.932472142,0.016411825,36250.93851,0.395532427,14.06530772
4.9,0.67645089,0.016771873,35948.18116,0.410375809,14.46579789
5,0.692720184,0.017113277,35278.6381,0.43438716,15.01510431
5.1,1.107016635,0.017427426,34884.69932,0.450976817,15.40027551
5.2,0.646985649,0.017801444,34443.08862,0.468439621,15.77778669
5.3,0.818968496,0.018132185,33636.06112,0.4963801,16.31943347
5.4,0.687851164,0.018483681,33134.5704,0.515152612,16.68162553
5.5,0.867328246,0.018813908,32417.46124,0.54221995,17.18278558
5.6,0.445601127,0.019185304,31637.05771,0.570160435,17.63908178
5.7,0.991463041,0.019490443,31107.83604,0.59155236,17.99361438
