Time On Sample,Displacement Into Surface,Load On Sample,Harmonic Contact Stiffness,Harmonic Displacement,Harmonic Load
0,0,0,250.261023,0.279723818,2.24244962
0.088,0.087642473,0.000326709,2534.925675,0.223517632,2.271869511
0.2,0.129228639,0.000746527,8677.886586,0.167311444,2.313275296
0.3,0.043008102,0.00113064,15119.04705,0.142040444,2.352501814
0.4,0.134631519,0.001501319,17024.3942,0.135940548,2.36993583
0.5,0.19218203,0.001874572,20664.25935,0.122869342,2.466912529
0.6,0.263029286,0.00224682,22949.26615,0.113719498,2.52466269
0.7,0.409501776,0.002613356,25513.71162,0.105876775,2.60856389
0.8,0.238514492,0.003003873,27876.84681,0.098905464,2.665224406
0.9,0.232905467,0.003381897,30730.178,0.092369861,2.7502152
1,0.377715864,0.003748557,33023.80943,0.087577086,2.806875767
1.1,0.293157419,0.004132545,36513.37664,0.081477189,2.89186655
1.2,0.459575027,0.004497574,37539.05354,0.080605776,2.943078986
1.3,0.30105344,0.004887149,38579.3224,0.080605775,3.026980137
1.4,0.601685064,0.005242039,38215.20981,0.083220018,3.097805856
1.5,0.468094872,0.00562973,38929.78148,0.087577086,3.329896102
1.6,0.515257302,0.006003768,40130.39177,0.091934155,3.621915796
1.7,0.162686351,0.006408002,40840.31085,0.094984101,3.815869109
1.8,0.203200408,0.006782541,40999.19774,0.101519705,4.104619916
1.9,0.431946505,0.007142861,40696.35352,0.107183896,4.294214836
2,0.541437426,0.00751219,39967.84162,0.116333742,4.578607152
2.1,0.616855439,0.007884093,39137.97827,0.12374076,4.766022808
2.2,0.444621583,0.008274704,39190.24339,0.130712069,5.049325434
2.3,0.708271639,0.008632387,39223.4947,0.13506914,5.237830749
2.4,0.623297668,0.009016406,39507.0308,0.139426208,5.460114365
2.5,0.924760346,0.009371233,41707.31374,0.145526108,6.035436823
2.6,0.632855783,0.009770883,42062.9374,0.152061709,6.368862213
2.7,0.607717164,0.010150382,41451.76727,0.166440036,6.878807038
2.8,0.934942285,0.010503263,40977.74175,0.176025592,7.202425954
2.9,0.709936969,0.01089786,40236.14608,0.191275331,7.704743355
3,0.445456945,0.011295439,40013.60008,0.200425172,8.024003568
3.1,0.564504901,0.011664046,40210.63081,0.207832191,8.345443205
3.2,0.74837449,0.012027756,40014.24209,0.222210522,8.840133325
3.3,0.564921503,0.012419214,39603.69871,0.233103192,9.150676603
3.4,0.466650789,0.012804237,38884.28692,0.247481518,9.514611518
3.5,0.692072704,0.013164808,38660.14688,0.268395453,10.21850984
3.6,0.73466438,0.013539191,38917.04313,0.277981006,10.63474685
3.7,0.581129069,0.013928389,39180.78293,0.292795037,11.25474386
3.8,1.01348158,0.014273328,39400.60096,0.302380598,11.66553292
3.9,0.80592824,0.014666606,39844.46474,0.315451801,12.27899212
4,0.791177703,0.01504532,39933.59512,0.325473061,12.68324324
4.1,0.938481246,0.015411792,39904.71418,0.342029925,13.30650924
4.2,0.643668019,0.015811663,39759.99669,0.354229712,13.72383567
4.3,0.703711672,0.016184727,39691.80581,0.365122386,14.11501138
4.4,0.782869396,0.016556347,39490.94006,0.379065009,14.57374384
4.5,0.791388162,0.016933303,39433.61907,0.400414647,15.37134987
4.6,0.946171124,0.01729921,39297.52015,0.41348586,15.81809649
4.7,0.830032906,0.017685583,39232.36195,0.426557063,16.28990441
4.8,1.183436,0.018036485,39328.62296,0.443549644,16.98399617
4.9,0.672550663,0.018452678,39212.32789,0.456185128,17.41766685
5,0.564722912,0.018838424,39113.09501,0.474920523,18.09214506
5.1,0.468529814,0.01922329,38781.00863,0.490605966,18.53671226
5.2,0.560984282,0.019593906,38414.97551,0.506727127,18.97474188
5.3,0.761474802,0.01995636,37465.61347,0.536790908,19.61762123
5.4,0.434250763,0.020358679,37029.84838,0.550297811,19.8867584
5.5,0.296505339,0.020746685,35926.39054,0.587768597,20.62007642
5.6,0.53189981,0.021106503,35214.94404,0.611296782,21.01887966
5.7,0.301077174,0.021501539,33841.94686,0.653560338,21.60836692
5.8,0.332865243,0.021876738,32756.84926,0.686674069,21.98101894
5.9,0.413685058,0.022248233,31107.10178,0.739394599,22.49423273
6,0.477052896,0.022621046,30038.54396,0.775558284,22.79932799
6.1,0.885305055,0.022967805,28667.97743,0.827843128,23.24171654
6.2,0.279680422,0.023391155,27819.97074,0.86269965,23.5217496
6.3,0.694580949,0.023737413,27090.52805,0.896249099,23.81812827
6.4,0.3939504,0.024137723,26371.76422,0.93284847,24.16027039
6.5,0.548733358,0.02450363,25682.92657,0.969447852,24.50023379
6.6,0.529827588,0.024882658,25142.69189,0.99994734,24.79879121
6.7,0.484328329,0.025263695,24522.92891,1.040032365,25.24444807
6.8,0.331624067,0.025652831,24220.48116,1.063124825,25.54191569
6.9,0.414105975,0.0260242,24004.7499,1.082295932,25.82303932
7,0.638696844,0.026384834,23717.38328,1.104952711,26.10525257
7.1,1.022848657,0.026733414,23436.72178,1.133273685,26.53129671
7.2,0.711414496,0.02713454,23320.76468,1.148959113,26.79825461
7.3,0.758992451,0.027508545,23172.90178,1.16638739,27.07175073
7.4,1.013501002,0.027866919,22973.15019,1.187301344,27.36268109
7.5,1.215653622,0.028229247,22837.0507,1.205601051,27.64489451
7.6,0.885936432,0.028631754,22579.72035,1.232179145,27.9913949
7.7,0.960107878,0.02900375,22378.00984,1.251350251,28.2202165
7.8,0.843138613,0.029390186,22166.5757,1.27052135,28.44141019
7.9,0.958862387,0.029759044,22012.59441,1.286206809,28.65170845
8,0.774578351,0.030150564,21912.41803,1.303199363,28.98622295
8.1,0.873681193,0.030520678,21769.7757,1.3175777,29.2030589
8.2,0.899651938,0.030896315,21645.26754,1.330648909,29.41989426
8.3,0.976316523,0.031268123,21475.41589,1.349384314,29.72498978
8.4,1.295646712,0.0316216,21415.10116,1.356355654,29.83940063
