Time On Sample,Displacement Into Surface,Load On Sample,Harmonic Contact Stiffness,Harmonic Displacement,Harmonic Load
0,0,0,-79.89251623,0.312396006,2.229344636
0.1,0.644168094,0.000330284,3092.873707,0.238762927,2.28273566
0.2,0.804676136,0.000697127,5673.446143,0.213056702,2.312155183
0.3,0.759088479,0.00107955,10017.51414,0.187350474,2.359008472
0.4,0.666963082,0.00146549,12484.03408,0.173843811,2.387338346
0.5,0.914729386,0.001825738,14292.52892,0.167744031,2.417847496
0.6,0.6971183,0.002221164,15981.59356,0.160772848,2.462521534
0.7,0.60914806,0.00260679,16955.40576,0.154237365,2.490851414
0.8,0.6973564,0.002979099,17710.31833,0.14944468,2.519181318
0.9,0.851216195,0.003346445,18994.55135,0.141602103,2.569303465
0.992,0.93296561,0.003692715,20421.90883,0.13593802,2.664099656
1.1,0.92873978,0.004101077,22608.021,0.127659743,2.791584175
1.2,0.992848413,0.004474003,24040.84247,0.124174153,2.91906871
1.3,0.980502189,0.004852709,25148.35491,0.121995659,3.004058397
1.4,0.839346751,0.005237371,27117.39988,0.11763867,3.131542894
1.5,1.024785919,0.005601126,29259.68508,0.111974588,3.217622212
1.6,0.846233483,0.005992395,32158.80964,0.105439105,3.325493709
1.7,1.049955334,0.006354768,35321.06598,0.099339323,3.434454871
1.8,1.035530931,0.00673741,37658.81123,0.096289432,3.541236778
1.9,1.014043966,0.007113026,39150.25507,0.094982335,3.624047244
2,1.15543849,0.00748011,44188.3872,0.091932444,3.959647546
2.1,1.211652329,0.007853633,48328.12155,0.09018965,4.270186793
2.2,1.035592983,0.008244713,50152.64784,0.090189649,4.476123291
2.3,1.276295721,0.008604291,51251.6961,0.091061048,4.679880667
2.4,1.056191728,0.0089987,51710.02425,0.094110938,5.011122451
2.5,1.063790249,0.009375898,51880.01186,0.096289432,5.213790162
2.6,1.194381369,0.009743798,51597.72772,0.099775023,5.427354025
2.7,1.033280582,0.010133748,49039.77102,0.108924696,5.749878924
2.8,1.230769704,0.010496592,47183.81138,0.115895879,5.946009022
2.9,1.174378833,0.010878626,46172.69738,0.12243136,6.180275434
3,1.013278046,0.011268576,47064.37075,0.134195226,6.874357801
3.1,1.088190084,0.011640685,47216.58127,0.142037805,7.264438683
3.2,1.377092626,0.011996619,47831.37781,0.149444687,7.679580701
3.3,1.10961986,0.012394609,48929.23942,0.161208552,8.308286341
3.4,1.418882664,0.012749004,49257.19784,0.169486832,8.691829638
3.5,1.337560859,0.013132923,48573.5655,0.186479084,9.278040521
3.6,1.304023342,0.013513229,48025.59145,0.19867865,9.671390204
3.7,1.197770605,0.013899033,47395.70262,0.215235203,10.2238231
3.8,1.30841698,0.014268441,47146.59285,0.225256277,10.59102215
3.9,0.940389456,0.014674032,46352.00316,0.239198632,11.0050743
4,1.410041257,0.015016303,45863.46768,0.255755194,11.60000231
4.1,1.083565283,0.015418753,44970.15965,0.278411526,12.32677291
4.2,1.070388027,0.015797522,44149.6674,0.295839477,12.83235251
4.3,1.138651817,0.016170133,43235.44743,0.320674309,13.59943901
4.4,1.135446935,0.016548148,42887.05022,0.335488068,14.09848089
4.5,1.124762772,0.016926727,42565.69868,0.349430429,14.56374499
4.6,0.965324048,0.017316551,41971.39363,0.372086762,15.27961947
4.7,1.046053303,0.017688221,41316.2818,0.389950415,15.75360051
4.8,0.838414778,0.018081688,40184.73835,0.418706529,16.43133854
4.9,1.097815713,0.018439852,39278.57606,0.444412765,17.03498347
5,1.059707525,0.018820505,38575.4792,0.465326306,17.50896432
5.1,0.744865994,0.019222076,37941.08657,0.486675536,18.00691648
5.2,1.12310437,0.019571257,36807.34216,0.520660054,18.68356537
5.3,1.099954742,0.019950779,35886.43851,0.54723768,19.14338142
5.4,1.060184492,0.020331557,34350.89282,0.58993616,19.75683242
5.5,1.130110344,0.020704043,33352.91598,0.619563679,20.14909273
5.6,0.87011686,0.021101468,31847.59308,0.667490535,20.73530324
5.7,0.945028898,0.021473577,30894.00793,0.699732249,21.0916063
5.8,0.811352138,0.021861454,29651.29521,0.746352012,21.6091715
5.9,1.093190912,0.022217922,29133.76458,0.767265569,21.84234863
6,0.445105928,0.022644683,28068.1237,0.816063798,22.42420033
6.1,0.993705666,0.022980987,27358.78409,0.848741236,22.76742864
6.2,1.047010896,0.023354729,26773.52113,0.878804458,23.10629772
