Time On Sample,Displacement Into Surface,Load On Sample,Harmonic Contact Stiffness,Harmonic Displacement,Harmonic Load
0,0,0,241.1083467,0.305380567,2.282506671
0.1,0.230871778,0.000361424,947.2736769,0.257025018,2.310833744
0.2,-0.129864781,0.000767683,2120.871418,0.215203993,2.342429262
0.3,0.185759876,0.001122685,3968.066715,0.178610605,2.394725397
0.4,0.019456393,0.001514208,7882.778608,0.14419539,2.462274499
0.5,0.111566103,0.001886149,10863.4506,0.132433229,2.506944092
0.6,0.431345319,0.002240835,15036.23091,0.123284884,2.572314259
0.7,0.255070906,0.002633115,16968.42718,0.120235433,2.615894316
0.8,0.237500418,0.003013367,18267.64746,0.119799797,2.677995931
0.9,0.096955162,0.003402939,18781.84467,0.12241361,2.72048649
1,0.065259194,0.003784262,18521.45548,0.130255051,2.764066567
1.1,0.01029773,0.004167348,18164.07216,0.141145941,2.82289967
1.2,0.26858956,0.004526694,18342.72542,0.148987385,2.931849905
1.3,0.290071871,0.004903987,18865.38267,0.153779377,3.060411145
1.4,0.392983422,0.005275108,19209.20804,0.159007006,3.188972407
1.5,0.667893473,0.005633195,19973.69365,0.163799001,3.370919285
1.6,0.561415547,0.006020185,20773.31787,0.163799,3.494033003
1.69,0.601356211,0.006358187,21980.21456,0.162492094,3.679248351
1.8,0.625983976,0.006772322,22766.82243,0.161620823,3.811078101
1.9,0.42312054,0.007165851,24921.14997,0.155086286,4.008277939
2,0.472023024,0.0075403,27167.33359,0.147244845,4.145555201
2.1,0.664673046,0.007903856,29598.42907,0.139403406,4.282832496
2.2,0.437713202,0.008299211,31475.52257,0.134611412,4.432094239
2.3,0.806516279,0.008649416,35024.99489,0.128948152,4.815599023
2.4,0.584541896,0.009044393,37570.49856,0.125027429,5.049841925
2.5,0.799626508,0.009406248,39497.87212,0.122849253,5.281905909
2.6,0.326717117,0.009820242,42028.44118,0.123284885,5.620740913
2.7,0.567559955,0.010180145,44301.39173,0.123284887,5.851715422
2.8,0.600675137,0.01055579,48079.67613,0.122849252,6.190550565
2.9,0.662872192,0.010929232,49870.85071,0.123284888,6.407361508
3,0.346173999,0.011331388,50720.70977,0.125898699,6.635067319
