Time On Sample,Displacement Into Surface,Load On Sample,Harmonic Contact Stiffness,Harmonic Displacement,Harmonic Load
0,0,0,-146.5593594,0.419971392,2.171439839
0.1,0.291902342,0.000356751,1015.011803,0.359415358,2.200857268
0.2,0.199491462,0.000742573,3380.664744,0.301908899,2.240080463
0.3,0.210533547,0.00112057,5152.516226,0.277947876,2.266229255
0.4,0.373639028,0.001487064,7253.513245,0.25529382,2.301094344
0.5,0.326514787,0.001869461,8442.202661,0.23961024,2.327243142
0.6,0.252800226,0.002253869,9608.357942,0.223491005,2.352302398
0.7,0.449143609,0.002617849,10903.06095,0.206936119,2.380630288
0.8,0.464755906,0.0029955,12962.20601,0.186460335,2.469972024
0.9,0.366943865,0.003381731,14002.78832,0.177747234,2.525538211
1,0.246280769,0.003769691,14930.11996,0.171648063,2.578925328
1.1,0.296377387,0.004144733,16420.36496,0.162934964,2.663908939
1.2,0.283321995,0.004524553,17182.22716,0.159014069,2.71620653
1.3,0.300180713,0.00490211,18189.01742,0.154657519,2.79683201
1.4,0.65440413,0.005254146,18839.19773,0.152479248,2.852398248
1.5,0.647996318,0.005633463,19415.68009,0.151607938,2.906874917
1.588,0.597153896,0.005970681,20267.49659,0.149865318,2.988589912
1.7,0.667587885,0.006388148,21156.40269,0.146815734,3.051782861
1.8,0.741782208,0.006759968,23026.4728,0.141587875,3.199959402
1.9,0.575001741,0.007150017,25947.60573,0.133746083,3.399343979
2,0.595184473,0.007525923,27997.45435,0.128518224,3.52681938
2.1,0.577974565,0.007904657,29727.07819,0.125032984,3.66192152
2.2,0.806725132,0.008264786,32474.79805,0.119805126,3.868932882
2.3,0.914157358,0.008634092,34512.18829,0.116319887,4.004035047
2.4,0.710815196,0.009026907,38136.40563,0.10978506,4.196882413
2.5,0.588905897,0.009413562,40315.75551,0.106299819,4.324357791
2.6,0.850894367,0.009771177,43773.12104,0.101943271,4.517205251
2.7,1.220075081,0.010120683,44908.25926,0.101507619,4.60436799
2.8,0.89873836,0.010522424,48750.93365,0.102814582,5.055434742
2.9,0.702043778,0.010914736,51025.58213,0.103250235,5.313654097
3,1.06374596,0.011264808,53345.27155,0.106299823,5.713512921
3.1,1.064816899,0.01164216,55515.01506,0.107606788,5.969553277
3.2,0.789182296,0.012040444,58204.46466,0.110656371,6.383575866
3.3,1.160855852,0.012389761,58390.47544,0.115012924,6.635258197
