Time On Sample,Displacement Into Surface,Load On Sample,Harmonic Contact Stiffness,Harmonic Displacement,Harmonic Load
0,0,0,-459.1150507,0.260534401,2.261943449
0.1,-0.087708597,0.000385789,1775.943637,0.215659745,2.291361782
0.2,-0.016282975,0.000759521,7068.536116,0.177320236,2.333854944
0.3,0.306101057,0.001114239,9721.083776,0.17034942,2.35891505
0.4,0.181413487,0.00150283,12913.85363,0.159893188,2.398139491
0.5,0.232064408,0.001878136,14364.91923,0.157279131,2.424289131
0.6,0.139785375,0.002264272,15393.2886,0.155100749,2.454797032
0.7,0.227415267,0.002636776,16651.77015,0.152486693,2.535425088
0.8,0.245242158,0.003014569,17561.55931,0.152051017,2.641113199
0.9,0.139251821,0.003401744,17986.64198,0.152486692,2.713024686
1,0.111374366,0.003783,18342.86404,0.15379372,2.78493618
1.1,0.484033184,0.004133908,19005.83502,0.155100753,2.890624344
1.2,0.51557138,0.004510662,19666.64331,0.153793725,2.962535846
1.3,0.551264516,0.004887102,20716.99331,0.15205102,3.069313536
1.4,0.538344847,0.005267224,21913.45583,0.147694257,3.139045897
1.5,0.48470676,0.005650432,23516.54935,0.142466142,3.24255487
1.6,0.470540608,0.00603065,25907.6848,0.134623969,3.378750887
1.7,0.562325444,0.006402839,28450.99682,0.128088825,3.538917431
1.8,0.809505064,0.006763254,32186.65519,0.120246655,3.76445808
1.9,0.457126739,0.007169097,34530.12643,0.116325565,3.913728861
2,0.811919323,0.007521359,37819.83445,0.111968805,4.138179968
2.088,0.864918054,0.007852889,39971.70152,0.109354748,4.28745083
2.2,0.85505217,0.00827532,43001.53265,0.10674069,4.510812311
2.3,0.853766493,0.008653562,44624.44247,0.105869338,4.658993583
2.4,0.914804929,0.009027082,45579.85345,0.107176367,4.879086373
2.5,0.681258064,0.009422922,45601.39474,0.109354747,5.034894582
2.6,0.686204799,0.009800693,44721.98609,0.114147186,5.207046343
2.7,0.910116913,0.010161872,44761.06705,0.121118009,5.567693487
2.8,0.912155189,0.010539862,45373.41263,0.128960182,6.039476505
2.9,0.973609119,0.010913351,46234.4938,0.133316946,6.340197367
3,0.907090872,0.011296535,48044.43679,0.138980737,6.811980357
3.1,0.625346694,0.011696027,48922.59084,0.143337497,7.13122377
3.2,0.839702444,0.012057931,48828.18683,0.153358054,7.573588513
3.3,0.797282854,0.01243929,48880.38126,0.159457522,7.867771915
3.4,0.850426902,0.012813408,48366.82801,0.167735372,8.158686662
3.5,0.627682882,0.013208429,47124.65676,0.183419716,8.622842626
3.6,0.970841798,0.013560574,46744.41213,0.196054333,9.10552147
3.7,0.925929243,0.013942121,46843.39651,0.205639211,9.541348749
3.8,1.069651003,0.014309376,46553.59073,0.221759236,10.18637319
3.9,0.930836785,0.014698038,46095.53928,0.233086817,10.61130474
4,0.979825893,0.015072471,45128.18397,0.252256575,11.26504568
4.1,1.238224024,0.015431037,44533.20958,0.264891193,11.67908177
4.2,1.088606957,0.015820517,44051.11577,0.277525803,12.11708808
