Time On Sample,Displacement Into Surface,Load On Sample,Harmonic Contact Stiffness,Harmonic Displacement,Harmonic Load
0,0,0,731.1197497,0.301060454,2.217318472
0.1,-0.112615394,0.000387679,4326.944367,0.231350361,2.259812537
0.19,0.16447299,0.000707952,7188.508181,0.206516146,2.285962755
0.3,0.227241278,0.001118796,10012.90309,0.189524312,2.313202551
0.4,0.202713232,0.001498413,12486.99286,0.175582293,2.366592527
0.5,0.106302766,0.00188347,14489.22654,0.164690091,2.434147182
0.6,0.2521319,0.002250196,15566.70333,0.156412019,2.482089221
0.7,0.251703162,0.00262799,16427.56159,0.150312386,2.52894166
0.8,0.129531365,0.003014996,17033.02331,0.146391192,2.598675487
0.9,0.384638399,0.003373453,16939.29378,0.146826883,2.644438364
1,0.322299368,0.003755932,16714.48358,0.14726257,2.713082616
1.1,0.345138928,0.004131964,16595.60019,0.147698259,2.756666273
1.2,0.565759025,0.004493031,16655.13239,0.149005325,2.822041791
1.3,0.335140336,0.004888243,16769.52233,0.152490828,2.924463354
1.4,0.316429364,0.00526742,17318.4289,0.15423358,3.037780862
1.5,0.369185307,0.005641189,17952.58221,0.154669269,3.159815108
1.6,0.644652108,0.005998105,18850.77236,0.156412024,3.337418554
1.7,0.443949801,0.006391053,19550.50763,0.157719086,3.464900715
1.8,0.505846862,0.00676413,20812.14675,0.159461839,3.634876996
1.9,0.69987462,0.007127208,21782.27544,0.160333218,3.749284131
2,0.582273379,0.007513868,22901.19688,0.161204593,3.869139166
2.1,0.46799618,0.007900277,24475.77239,0.162075968,4.054369689
2.2,0.924623312,0.008243483,25074.83891,0.164254413,4.166597699
2.3,0.713117862,0.008637249,25923.92148,0.165997163,4.306065357
2.4,0.681110719,0.009017432,27483.202,0.166868539,4.542506703
2.5,0.921675078,0.009376988,29298.28778,0.169482671,4.865025819
2.6,0.899640063,0.009756416,30216.22758,0.171661111,5.062241887
2.7,0.841871589,0.010138548,31707.60409,0.173839551,5.358610718
2.8,0.922050888,0.010510241,32814.3125,0.17427524,5.556916404
2.9,0.904170926,0.010889354,34313.18257,0.175582304,5.85328527
3,1.133932151,0.011249728,35194.49227,0.176889372,6.051590976
3.1,1.042092236,0.011634438,36352.61406,0.179503499,6.346870249
3.2,1.120609516,0.012006256,37283.88128,0.180374876,6.544086334
3.3,1.342891648,0.012367196,38102.82483,0.18255332,6.771811012
3.4,1.146344384,0.012759829,39912.1752,0.187345887,7.288277298
3.5,1.219875599,0.013132025,40880.76357,0.190395704,7.592273369
3.6,1.11141547,0.013517992,42531.41762,0.193881208,8.049901737
3.7,1.157523332,0.013892263,43226.42322,0.197802402,8.351718607
3.8,1.28008418,0.014260749,44370.5672,0.203030661,8.804988686
3.9,1.129242505,0.014649923,44588.95253,0.208694604,9.102447109
4,1.256789417,0.015018031,44916.149,0.217408368,9.545910897
4.1,1.047776992,0.015411608,44963.26892,0.223943687,9.83901091
4.2,1.269228114,0.01577261,44967.93722,0.233964517,10.2759372
4.3,1.241376023,0.016152477,45193.54071,0.240499839,10.61371055
4.4,1.359781819,0.016521277,45513.35228,0.250084979,11.11492268
4.5,1.208940142,0.016910451,45619.36042,0.259234427,11.55620716
4.6,1.426236213,0.017271768,45284.7968,0.274919204,12.19579749
4.7,1.164870111,0.017669306,45163.89213,0.284940025,12.62945475
4.8,1.140342063,0.018048922,44824.92616,0.300624797,13.25814902
4.9,1.325228715,0.018412691,44962.83106,0.308467187,13.66347717
5,1.176880071,0.018801677,44938.29199,0.317616635,14.09059693
5.1,1.20636772,0.019177205,44714.44766,0.332430031,14.70948492
5.2,1.443608049,0.019537012,44569.2493,0.342015175,15.10173803
5.3,1.28030121,0.01992713,44312.39829,0.35421444,15.5637247
5.4,1.523358616,0.020286497,44437.12298,0.372077658,16.41033748
5.5,1.399940291,0.020673595,44685.04496,0.382098482,16.92026621
5.6,1.318903514,0.021057487,44910.90927,0.392554996,17.424747
5.7,1.168892847,0.021446599,44773.77154,0.410853891,18.11990624
5.8,1.210845657,0.021821184,44545.20821,0.424795914,18.6047745
5.9,1.207923887,0.022199165,43636.79402,0.450501511,19.29230672
6,1.34461192,0.022566581,42946.18508,0.469236106,19.7477561
6.1,1.007623842,0.022969841,42391.75908,0.486227931,20.17378605
6.2,1.272287523,0.023327573,41209.158,0.516726109,20.8155557
6.3,1.231139261,0.023708447,40280.05066,0.541124643,21.28952796
6.4,1.288881275,0.024081837,39327.77699,0.569444372,21.85175724
6.5,0.920314791,0.024487487,38499.66978,0.594278581,22.31156445
6.6,1.055340799,0.024855029,37303.15543,0.631747764,22.96531949
6.7,0.75741023,0.025255334,36514.79998,0.657017662,23.36846809
6.8,0.888281183,0.025623191,35339.16791,0.696229598,23.95139952
6.9,0.976770592,0.025994255,34445.41163,0.726292081,24.34256305
7,0.896564827,0.026378084,33149.26252,0.772039331,24.89280666
7.1,1.220230268,0.026731352,32295.63675,0.802973204,25.22513246
7.2,1.282958347,0.027104364,31413.25618,0.836521194,25.5629059
7.3,1.078100972,0.027497626,30500.0599,0.872683296,25.90503745
7.4,1.469078288,0.0278458,29059.65678,0.932372593,26.41823543
7.5,1.472804605,0.028223277,28163.51758,0.970713149,26.70152931
7.6,1.457417675,0.028602201,27291.36846,1.009489392,26.96738952
7.7,1.087189163,0.029007976,26001.34023,1.069178639,27.34329834
7.8,1.282878957,0.029370928,25256.11806,1.106212144,27.57647087
7.9,1.122896161,0.029760793,24509.86693,1.144552687,27.81073314
8,1.150721789,0.030136448,23850.0699,1.179843428,28.01993462
8.1,1.098770387,0.030518138,22978.04247,1.230383246,28.3457225
8.2,1.232965387,0.030885743,22460.79663,1.261752803,28.55274482
8.3,1.20926835,0.031265296,21943.34703,1.294865098,28.75758834
8.4,1.875310233,0.031592654,21483.78427,1.326234705,28.9613426
8.5,1.368795948,0.032008742,21196.57749,1.348454754,29.14221429
8.6,1.71074364,0.032360626,20859.6,1.378517268,29.4298667
8.7,1.942997918,0.03272081,20736.99915,1.393766375,29.61509787
8.8,2.030656324,0.033091935,20722.98773,1.4042229,29.82429949
8.9,1.975380876,0.033473876,20807.99627,1.409451153,30.04875522
9,2.201818083,0.0338345,21151.09393,1.406401359,30.42248545
9.1,1.784221937,0.034243859,21478.09784,1.399430309,30.6894349
9.2,1.881852471,0.03461423,21849.03097,1.390716556,30.95202643
9.3,1.679488119,0.035007302,22451.40276,1.372853324,31.29415816
9.4,1.560224844,0.035394086,23156.52404,1.351068907,31.64173735
9.5,1.718519162,0.035759866,23781.15491,1.33277002,31.95554023
9.6,1.678201909,0.036140676,24697.54574,1.307935794,32.41752679
9.7,1.229858379,0.036552362,25250.00542,1.294429422,32.71716396
9.8,1.71473992,0.03689343,25652.47363,1.287458456,33.01571267
9.9,1.881344349,0.037258581,25912.10225,1.291815352,33.41559314
10,2.068724048,0.03762216,25994.78215,1.297915004,33.66946808
10.1,2.078267442,0.037999197,26019.06587,1.306628769,33.91244723
10.2,2.323817901,0.038358373,25990.77015,1.317085307,34.14562011
10.3,1.933645104,0.038765657,25898.26075,1.331027293,34.39186725
10.4,2.56062952,0.03909597,25776.70975,1.345405061,34.6261304
10.5,2.168794695,0.039503379,25781.10696,1.357168606,34.94646984
10.6,2.172521013,0.039880855,25886.09396,1.360654112,35.17964232
10.7,1.865449297,0.040281851,26143.19886,1.357168579,35.43460629
10.8,2.260581696,0.040629709,26647.51004,1.344097972,35.72334865
10.9,2.38480458,0.040998066,27713.51571,1.313164124,36.19187346
11,2.426757396,0.04137265,28492.23291,1.291815409,36.52528826
11.1,1.991710012,0.041783329,29264.1741,1.271338028,36.84889645
11.2,2.297093248,0.042137978,30059.4382,1.251296399,37.1953869
11.3,2.375610539,0.042509795,30912.96224,1.230819063,37.5658484
11.4,2.470748047,0.042880354,32266.7693,1.199885212,38.14660076
11.5,1.842906159,0.043305622,32984.159,1.185071764,38.48437321
11.6,2.395930612,0.043641532,33589.62255,1.174179605,38.81452009
11.7,2.128747408,0.044039508,34089.33315,1.170694079,39.26452134
11.8,2.101726327,0.044419311,34222.19991,1.174615271,39.56851698
11.9,1.581084842,0.044836468,34142.06077,1.183764681,39.81694331
12,1.424426082,0.045226081,33695.41217,1.208163204,40.20047875
12.1,2.2990517,0.045537655,32991.22092,1.237354385,40.40423433
12.2,2.880330542,0.045871426,32276.73232,1.267852607,40.5916452
12.3,2.71536166,0.046261667,31463.82562,1.303143336,40.76706924
12.4,3.017420871,0.046616567,30591.31083,1.343226677,40.93595637
12.5,2.914777801,0.047002092,29848.06068,1.379388787,41.06888651
12.6,3.028197552,0.047371266,28892.53165,1.429057252,41.25956507
12.7,2.583178017,0.047782699,28404.75791,1.456941252,41.38813634
12.8,3.071383657,0.048123513,27973.50613,1.482646905,41.50145454
12.9,2.822482677,0.048520105,27656.39498,1.503995601,41.63111573
13,2.739783869,0.048904121,27629.06666,1.515759174,41.882811
13.1,2.91386741,0.049268705,28126.68009,1.500510107,42.1290593
13.2,3.063020628,0.049635175,28727.8942,1.480904155,42.3851133
13.3,2.690299033,0.050041137,29481.96287,1.456505579,42.68910902
13.4,3.053022038,0.050391446,30330.02143,1.429492949,43.02579322
13.5,2.950378967,0.050776971,31096.4155,1.405965777,43.33632692
13.6,3.028896263,0.051148786,32153.95219,1.375903301,43.78850735
13.7,3.067525038,0.05152362,32860.27594,1.356733025,44.10448929
13.8,3.118618976,0.051897511,33640.22846,1.335819997,44.43463546
13.9,2.744235357,0.052303599,34629.94089,1.311857113,44.90533841
14,2.89920565,0.052669629,35104.51524,1.302707676,45.2115138
14.1,2.839775144,0.053051883,35274.64154,1.30314336,45.48935991
14.2,2.976463199,0.053419297,35344.73116,1.306628878,45.75522009
14.3,2.596262507,0.053825825,35340.99764,1.313164168,46.0396031
14.4,3.183358444,0.054159156,35335.48291,1.319699544,46.32943538
14.5,2.877117712,0.054560086,35319.69238,1.329284657,46.69771706
14.6,2.997185551,0.054928758,35305.99004,1.33625568,46.94941282
14.7,3.048279489,0.055302648,35251.64709,1.344969449,47.17604811
14.8,2.989679994,0.05568484,35085.33268,1.360654219,47.50619404
14.9,2.740779013,0.056081432,34943.84162,1.37198209,47.71430576
15,3.350312252,0.056413064,34727.85363,1.386359858,47.92023981
15.1,2.879531365,0.056826446,34479.06469,1.401608901,48.10329033
15.2,3.258874596,0.057175497,34026.59666,1.428185918,48.37350962
15.3,2.89363209,0.057580893,33840.26359,1.439078088,48.47810998
15.4,3.335301137,0.057925228,33397.05247,1.467397866,48.75486687
15.5,2.865351261,0.058338546,33062.49516,1.487003788,48.90740913
15.6,3.11921185,0.058697093,32710.20259,1.507045471,49.05123532
15.7,2.974187224,0.059085825,32412.54708,1.524037297,49.18525506
15.8,3.462392884,0.059426638,31980.53969,1.549307265,49.38138259
15.9,2.839537005,0.059851527,31741.25986,1.564556286,49.51540119
16,3.228852366,0.060199824,31554.06916,1.577191286,49.64397348
16.1,3.341441111,0.060569061,31411.57839,1.590261945,49.85426528
16.2,3.899451703,0.060904591,31322.44236,1.598104395,49.98937585
16.3,3.336428587,0.061324953,31349.35292,1.601154152,50.15935105
16.4,3.876987949,0.061661804,31455.35816,1.600718524,50.35220983
16.5,3.573240233,0.062062545,31670.84137,1.595054545,50.53635033
16.6,3.947596818,0.062415756,32302.62095,1.575012928,50.87739311
16.7,3.946337072,0.062793607,32930.56906,1.554535582,51.1388956
16.8,4.121251644,0.063158127,33616.42869,1.532315502,51.40475601
16.9,3.859055069,0.06355194,34863.00467,1.493539224,51.86020502
17,4.164438356,0.063906587,35698.36045,1.468269338,52.15112642
17.1,3.618035446,0.06432569,36757.99266,1.437771109,52.49761559
17.2,3.922587717,0.0646804,37960.81944,1.404658835,52.85391257
17.3,3.810803519,0.065066615,39351.44103,1.368932391,53.27667401
17.4,4.338066727,0.065404471,41336.18812,1.322749488,53.89556331
17.5,3.878088945,0.065817034,42360.73003,1.301400724,54.26057556
17.6,4.096216085,0.066178284,43229.81646,1.28528028,54.61469329
17.7,3.638731343,0.066590659,44177.88321,1.270902529,55.12897978
17.8,3.743840994,0.066960461,44486.64145,1.269595474,55.4384234
17.9,3.109350944,0.06738623,44517.81616,1.275259366,55.72062655
18,3.477060034,0.067736161,44133.38789,1.294865368,56.10525298
18.1,3.473307255,0.068114202,43465.7949,1.318392532,56.30682784
18.2,3.579247917,0.068483941,42332.77159,1.356297417,56.50840223
18.3,3.157912162,0.068893581,41444.66624,1.385924177,56.61518151
18.4,3.625342564,0.069235966,39201.04813,1.462605348,56.75791884
18.5,3.738346819,0.06960517,37328.55571,1.530790568,56.79877922
18.6,4.248158798,0.069944348,36311.3069,1.569784719,56.7927876
18.7,4.157565376,0.070328958,34589.32479,1.640366204,56.75138321
18.8,4.117663622,0.070709733,33465.53441,1.690470347,56.73721803
18.9,4.178729697,0.071082868,32863.94163,1.719225779,56.75465209
19,4.577186223,0.071430471,32486.65167,1.73839611,56.78516136
19.1,4.521079754,0.071812471,32306.3856,1.751466751,56.90719596
19.2,4.369407025,0.072201704,32458.17809,1.747981228,57.03903584
19.3,4.259284844,0.072587792,33019.33938,1.72706818,57.25913329
19.4,4.71425012,0.072931119,33947.61901,1.692648863,57.54896573
19.5,4.448728886,0.073328967,35110.55249,1.650387074,57.87366368
19.6,4.605361225,0.073694869,37375.54807,1.572834584,58.45114745
19.7,4.442054341,0.074084982,39061.85816,1.520116289,58.86519202
19.8,4.577080395,0.074452519,40830.72469,1.469576467,59.30865604
19.9,4.23926121,0.074855837,43100.00779,1.41119421,59.91337889
20,4.611125388,0.075205453,44631.14838,1.375032122,60.34812654
20.1,4.499341183,0.075591666,45887.43338,1.34801944,60.74364855
20.2,4.736581505,0.075951997,47418.28294,1.31882835,61.3036989
20.3,4.274941305,0.076367057,47941.65197,1.310114544,61.53796045
20.4,4.45484126,0.076735542,48840.47826,1.299222355,62.11871272
20.5,4.37297246,0.077125724,49039.50274,1.301400789,62.45539695
20.6,4.357584229,0.077512821,48965.61627,1.309678865,62.7463172
20.7,4.235826286,0.077909908,48630.27783,1.327106385,63.14183925
20.8,4.634280911,0.078269505,48371.99141,1.339305693,63.3848191
20.9,4.313910734,0.078685461,48073.43012,1.353247683,63.65067895
21,4.695744513,0.079050268,47570.4788,1.375467825,64.01242386
21.1,4.421079318,0.079466666,47268.3914,1.388974136,64.22816287
21.2,4.680753867,0.079844609,46846.58768,1.409015821,64.57465333
21.3,4.592234502,0.08025087,46663.57955,1.41729389,64.70213585
21.4,4.664930948,0.080646943,46296.73717,1.436899873,65.08894092
21.5,4.412701777,0.081069647,46065.10266,1.449099114,65.31339604
21.6,4.696474368,0.081453799,45918.60848,1.459119976,65.55746533
21.7,4.586347432,0.081869785,45895.1086,1.468269418,65.92683695
21.8,4.603364861,0.082278131,46008.44561,1.470447861,66.1828907
21.9,4.155846805,0.082723846,46068.79118,1.474369012,66.44548143
22,4.706372606,0.083096056,46254.49913,1.4769832,66.83446715
22.1,4.400125765,0.083535147,46432.95217,1.476983167,67.09596819
22.2,4.781124684,0.083924262,46607.49563,1.476983213,67.35747147
22.3,4.467398092,0.084368009,46788.35244,1.47741886,67.64730187
22.4,4.786901526,0.084766017,46973.21517,1.478290277,67.96328455
22.5,4.589515802,0.085205169,47380.46716,1.474369058,68.39803102
22.6,4.916497673,0.085606793,47584.25209,1.47349772,68.67696762
22.7,4.400003047,0.086074383,47693.96357,1.475240418,68.94173672
22.8,4.821719479,0.086473169,47747.93738,1.480904413,69.33181199
22.9,4.511314892,0.086929481,47824.33406,1.483518507,69.58895463
23,4.821675171,0.087340992,47917.05946,1.485696986,69.84827853
23.1,4.793813645,0.087780171,47991.84976,1.490489549,70.21765006
23.2,4.928829918,0.088209277,48084.49674,1.49266801,70.47261502
23.3,4.447235677,0.088687275,48171.48759,1.495717773,70.75263848
23.4,4.965347317,0.089091805,48218.88448,1.500074719,71.05227801
23.5,4.392341162,0.08958115,48063.60908,1.512273923,71.4031246
23.6,4.908790056,0.089990345,47985.86343,1.519680684,71.62976149
23.7,4.602537723,0.090463949,47927.48486,1.526651663,71.85530595
23.8,4.864696543,0.090896867,47812.71741,1.537543899,72.17564686
23.9,4.897495988,0.09134928,47651.71496,1.547129041,72.37722148
24,4.995113928,0.091799073,47487.31208,1.556714201,72.57334836
24.1,4.71794553,0.09227958,47218.2965,1.571963254,72.86208923
24.2,4.979271907,0.092721587,46965.59635,1.58416256,73.03206649
24.3,4.538393608,0.093219098,46735.77251,1.595926092,73.2238331
24.4,5.080600958,0.093644549,46618.20377,1.604639925,73.44393259
24.5,4.772683685,0.094136601,46563.61825,1.612917961,73.74901721
24.6,4.976668813,0.094592327,46519.71507,1.618146247,73.93751734
24.7,4.756837961,0.095082407,46500.86884,1.622503106,74.12819514
24.8,5.159433981,0.095527776,46543.50955,1.626860035,74.42674457
24.9,5.001928199,0.096017882,46653.51553,1.627295702,74.63267706
25,5.382917195,0.096469563,46708.35982,1.629909885,74.8397009
25.1,4.932894777,0.09698654,46839.9048,1.62990983,75.05761765
25.2,5.00225385,0.097466744,47104.83651,1.627731397,75.38558462
25.3,4.999314583,0.097954818,47185.49083,1.627731398,75.50761969
25.4,5.268946553,0.098424661,47443.61815,1.627295741,75.8715437
25.5,5.030830391,0.098935394,47598.48411,1.626860027,76.08510342
25.6,5.091046796,0.099426021,47904.90556,1.624245904,76.41089103
25.7,4.758194584,0.09994894,48143.85671,1.621631739,76.63861511
25.8,5.420062185,0.100399005,48340.0516,1.620324751,76.86089402
25.9,4.945106298,0.100937595,48633.42878,1.618146255,77.20193473
26,5.198115669,0.101423653,48876.41072,1.615096466,77.43510801
26.1,5.097944955,0.101938938,49110.79281,1.612482326,77.66719094
26.2,5.278655566,0.102435517,49350.55348,1.609868217,77.90145348
26.3,5.175160006,0.102956094,49630.05919,1.606818389,78.17821002
26.4,5.369996998,0.103456689,49887.88892,1.60463997,78.45932484
26.5,5.180906475,0.103988933,50228.66987,1.60202582,78.82542754
26.6,5.495408244,0.104485598,50368.61688,1.602461544,79.05424256
26.7,5.291358709,0.105024078,50610.39824,1.602461522,79.40727002
26.8,5.220270505,0.105555256,50877.87242,1.599411697,79.65460664
26.9,5.139209757,0.106089771,51167.42562,1.595926183,79.90630271
27,5.411328287,0.10660018,51555.38543,1.592005019,80.27349546
27.1,5.381789386,0.107136067,51783.54877,1.590262263,80.5197437
27.2,5.692964604,0.107648791,52053.87629,1.58721248,80.77470906
27.3,5.388360202,0.10821077,52421.08081,1.581984188,81.07107718
27.4,5.622250535,0.108734727,52770.98776,1.577627332,81.38923849
27.5,5.402408398,0.109295726,53363.78216,1.568477855,81.84250848
27.6,5.661228195,0.109823255,53765.88664,1.561942559,82.1214442
27.7,5.524486302,0.110383385,54433.1022,1.551050337,82.58452113
27.8,5.704359187,0.110922316,54713.31579,1.548000539,82.86999411
27.9,5.545179119,0.111489654,54981.82252,1.545386394,83.17072151
28,5.859674915,0.112023957,55250.35655,1.54233661,83.45837462
28.1,5.652295322,0.112600485,55541.98125,1.540593835,83.87132946
28.2,5.785629816,0.113154088,55722.52995,1.540158162,84.16442964
28.3,5.591545501,0.113735271,55910.96824,1.539722454,84.47387378
28.4,5.889419292,0.114282062,56089.48563,1.540158175,84.80728912
28.5,5.417776372,0.114889956,56221.3113,1.543207944,85.22569152
28.6,5.728945421,0.115441502,56297.86522,1.545386419,85.49700043
28.7,5.396911438,0.116044647,56338.06993,1.548871891,85.77484548
28.8,5.767081357,0.1165975,56427.51403,1.551050373,86.04288625
28.9,5.847227955,0.117175182,56609.33454,1.553228824,86.43949829
29,6.021278359,0.11774858,56771.00538,1.55410022,86.7108072
29.1,5.591183224,0.118370708,56969.66167,1.554100175,86.98756214
29.2,5.982126572,0.118933648,57241.46612,1.555407282,87.41904169
29.3,5.920999422,0.119533742,57322.92444,1.556714341,87.59010777
29.4,5.834110453,0.120138778,57698.29368,1.556278645,88.07933387
29.5,5.738910894,0.120747464,57906.66479,1.556278635,88.36480696
29.6,6.178882003,0.121318642,58098.14257,1.556714371,88.64810209
29.7,5.649893699,0.12196615,58309.17919,1.558892757,89.05451837
29.8,6.148865634,0.122538907,58452.87199,1.560199877,89.33018651
29.9,5.884968897,0.123172451,58572.58779,1.562378291,89.61674884
30,6.381446842,0.123751469,58630.80269,1.568042293,90.01227207
30.1,6.028630948,0.124397811,58616.94402,1.572834827,90.26178788
30.2,6.432865686,0.12498996,58542.49794,1.578934509,90.49932006
30.3,6.230461821,0.125631085,58522.27971,1.584162747,90.77062829
30.4,6.402012458,0.12624707,58361.42894,1.595054975,91.1585229
30.5,6.498771597,0.126871856,58313.25837,1.600283247,91.39605513
30.6,6.831537418,0.127481817,58268.12578,1.605511544,91.6455726
30.7,7.00142457,0.128107182,58412.68095,1.607690006,92.03346855
30.8,7.233637056,0.128731011,58531.30447,1.608561409,92.28952333
30.9,6.934001893,0.129398249,58747.02284,1.606818623,92.56083083
31,7.281723911,0.130019758,59236.07323,1.599847649,92.99122079
31.1,7.258814445,0.130672478,59658.96777,1.592876633,93.3017549
31.2,7.306540403,0.131323161,60179.08237,1.583727184,93.62972181
31.3,7.465621358,0.13196858,60871.66606,1.571092239,94.019797
31.4,7.701985836,0.132611421,62057.34458,1.550179224,94.64413366
31.5,7.319246449,0.13330442,62814.8342,1.537108533,95.01895221
31.6,7.546468736,0.13395466,63632.85759,1.523602219,95.42428101
31.7,7.437961982,0.134633583,64700.75019,1.507917427,96.03118362
31.8,7.538869508,0.135300052,65362.34902,1.498767983,96.42888462
31.9,7.569971559,0.135975174,65995.0599,1.490489908,96.82658657
32,7.767275321,0.136641053,66704.62055,1.483954603,97.40624966
32.1,7.395335864,0.137353444,67092.00906,1.481340436,97.75709748
32.2,8.059666846,0.137990779,67530.15892,1.480469128,98.2670287
32.3,7.753376194,0.138704948,67646.82338,1.481776162,98.49148417
32.4,7.776996439,0.139397658,67943.79763,1.485261673,99.10492382
32.5,7.675132317,0.140110397,67897.17213,1.4913613,99.4350702
32.6,8.084341778,0.140773864,67878.23312,1.497025292,99.78483055
32.7,7.83538868,0.14149765,68023.64355,1.501382151,100.2882217
32.8,7.991137484,0.142194364,68166.04139,1.503124921,100.6150994
32.9,7.846890673,0.142917326,68237.44932,1.507046103,100.9681273
33,8.493766012,0.143583853,68239.78109,1.514888562,101.4769691
33.1,8.174174711,0.144327079,68235.6328,1.519681101,101.7951292
33.2,8.476179254,0.145026852,68184.17394,1.525345083,102.102395
33.3,8.191489279,0.145774652,68237.64747,1.529701938,102.4761242
33.4,8.392940303,0.146489316,68233.3799,1.535365909,102.8542132
33.5,8.133179504,0.147242539,68303.24209,1.54146552,103.3467081
33.6,8.465098125,0.147954683,68308.27141,1.546693817,103.6768554
33.7,8.105614806,0.148722816,68253.46621,1.552793417,103.9764919
33.8,8.79071205,0.149415566,68207.94096,1.561071571,104.4330342
