Time On Sample,Displacement Into Surface,Load On Sample,Harmonic Contact Stiffness,Harmonic Displacement,Harmonic Load
0,0,0,865.5315521,0.251836631,2.250061011
0.1,-0.050822939,0.000382745,3418.404031,0.214366128,2.284928776
0.2,0.115255585,0.000749099,6678.47158,0.189966734,2.319796574
0.3,0.025373762,0.001134796,11196.92606,0.169924371,2.369918988
0.4,0.145745082,0.001504605,13319.95173,0.161646005,2.401517921
0.5,0.087442782,0.001887915,15428.92615,0.152931934,2.449461101
0.6,0.10975137,0.002265134,16505.09502,0.147703492,2.483239257
0.7,0.350623506,0.002625836,17397.70472,0.143782163,2.515927826
0.8,0.361297534,0.003003934,17932.67657,0.142039349,2.561691788
0.9,0.122659531,0.003400872,18114.06269,0.142910754,2.593290673
1,0.375166229,0.003760695,18256.1361,0.144217867,2.628158475
1.1,0.308553526,0.004144633,19054.8982,0.147267791,2.798138872
1.2,0.417290287,0.004515321,19331.09872,0.149882013,2.894025261
1.3,0.245135491,0.004907235,19656.76195,0.154239047,3.038944431
1.4,0.460245386,0.005269884,19632.68884,0.159031788,3.133741211
1.5,0.441001969,0.005650243,19742.99789,0.16295312,3.235075683
1.6,0.553062892,0.006020679,19660.64427,0.169924377,3.377815654
1.7,0.342680249,0.006415482,19855.98916,0.172538596,3.472612381
1.8,0.409865005,0.006789309,20455.53366,0.173845707,3.622979667
1.9,0.531067368,0.007159055,21021.89609,0.173410006,3.725403777
2,0.524289553,0.007538472,21614.9873,0.173410005,3.834365572
2.1,0.648816078,0.007907966,23334.64484,0.173410007,4.126383208
2.2,0.501592483,0.008297996,24306.95381,0.174281412,4.299632433
2.3,0.529718353,0.008674775,25475.98289,0.173845708,4.472881693
2.4,0.66338632,0.009043579,27453.66291,0.173410007,4.755092774
2.49,0.558641824,0.009392508,28564.66985,0.174281412,4.938148566
2.6,0.752048816,0.009793494,31118.04916,0.16992438,5.20183616
2.7,0.641391166,0.010179623,32527.20635,0.168617268,5.377264623
2.8,0.729352107,0.010550743,34724.82425,0.166003047,5.640952194
2.9,0.976041715,0.010909869,35626.88186,0.166874457,5.813111901
3,1.108047786,0.01127766,36608.26199,0.16818157,6.014691265
3.1,1.007362615,0.011663036,38507.53685,0.1721029,6.478868495
3.2,0.87509792,0.012050797,39623.84099,0.174281416,6.752362564
3.3,0.831339,0.012431871,41094.1873,0.177767044,7.163148525
3.4,0.891460097,0.012805095,42050.35553,0.179945563,7.436642657
3.5,1.013909205,0.013173609,43768.42503,0.181688378,7.848518297
3.6,1.093144227,0.013545388,44179.33843,0.185609711,8.118743587
3.7,0.868634075,0.013940121,44212.18535,0.191273854,8.4031338
3.8,0.991083183,0.014308635,43875.1676,0.202166445,8.815009435
3.9,0.899123935,0.014693351,43435.568,0.210444811,9.075428091
4,1.052321529,0.015059541,43373.75545,0.218287477,9.394686227
4.1,0.797893933,0.015456535,44392.94505,0.224387323,9.869759546
4.2,1.073669947,0.015813462,45252.48347,0.234844212,10.50936543
4.3,1.110937441,0.016188412,45539.09824,0.242686876,10.89835907
4.4,0.835733841,0.016586976,45957.23416,0.254015164,11.47803568
4.5,0.961091589,0.01695527,45758.34658,0.264036348,11.85722281
4.6,1.218169203,0.01731361,44874.68841,0.283207309,12.43689973
